Survey ID,Room Rate Clean,Room Number Clean,Room Type Clean,Survey language,Arrival Date,Departure Date,Loyalty Program Tier,Mobile Check-In,Intent to Recommend (Property),Cleanliness,Staff Service,Food and Beverage,Maintenance and Upkeep,Design and Décor,Overall Score
4783,194,609,PQ,English,3/10/2022,3/13/2022,Non-Member,No,7,5,10,9,6,,3.5
4784,189,1606,CK,English,3/11/2022,3/12/2022,Platinum,Yes,8,8,8,8,8,,4
4786,192.6,1224,GK,English,3/15/2022,3/16/2022,Silver,Yes,10,10,10,10,10,,5
4788,192.6,1606,CK,English,3/14/2022,3/15/2022,Silver,Yes,10,9,9,,9,,5
4789,204,1106,GQ,English,3/12/2022,3/13/2022,Non-Member,No,10,10,10,1,8,,5
4790,175,1407,JS,English,3/10/2022,3/11/2022,Titanium,No,10,10,10,10,10,,5
4793,166,911,GKA,English,3/13/2022,3/14/2022,Member,No,7,8,5,9,8,,3.5
4795,149,1723,CK,English,3/9/2022,3/10/2022,Silver,No,9,9,9,9,9,,4.5
4796,194.65,1506,CK,English,3/10/2022,3/14/2022,Non-Member,No,9,10,10,7,10,,4.5
4798,181,715,PQ,English,3/12/2022,3/13/2022,Gold,Yes,7,9,7,3,9,,3.5
4799,188,402,GK,English,3/5/2022,3/9/2022,Member,Yes,4,3,6,5,4,,2
4800,203.15,812,GK,English,3/12/2022,3/13/2022,Member,No,10,10,10,10,10,,5
4803,177,1404,GK,English,3/8/2022,3/11/2022,Gold,Yes,1,8,1,8,8,,0.5
4804,210.6,702,GK,English,3/12/2022,3/13/2022,Member,No,5,2,10,,5,,2.5
4806,179,1106,GQ,English,3/10/2022,3/11/2022,Member,No,7,10,10,,10,,3.5
4808,187,1012,GK,English,3/10/2022,3/12/2022,Titanium,No,10,10,10,10,10,,5
4810,184,1525,CK,English,3/8/2022,3/12/2022,Non-Member,No,10,10,10,10,10,,5
4815,175.27,1101,PK,English,3/4/2022,3/11/2022,Non-Member,No,10,10,10,10,10,,5
4817,185,1121,PK,English,3/10/2022,3/11/2022,Member,No,10,10,10,,10,,5
4818,182,1611,CK,English,3/5/2022,3/11/2022,Platinum,Yes,10,10,10,10,10,,5
4820,249,914,GQ,English,3/5/2022,3/6/2022,Non-Member,No,5,6,2,1,8,,2.5
4822,217,1021,PK,English,3/3/2022,3/6/2022,Member,Yes,7,6,8,,6,,3.5
4823,175,625,PK,English,3/8/2022,3/9/2022,Member,Yes,8,10,7,3,10,,4
4824,195.3,1422,GK,English,3/3/2022,3/5/2022,Member,No,9,9,9,8,9,,4.5
4825,178,1122,GK,English,3/7/2022,3/9/2022,Gold,No,10,10,10,10,8,,5
4827,212,1022,GK,English,3/5/2022,3/6/2022,Non-Member,No,10,10,10,7,10,,5
4830,166,1104,GK,English,3/6/2022,3/7/2022,Member,No,10,10,10,10,10,,5
4835,211,1418,GQ,English,3/4/2022,3/7/2022,Non-Member,No,10,10,10,10,9,,5
4836,251,803,PK,English,3/4/2022,3/6/2022,Member,No,8,9,10,7,9,,4
4837,166,1002,GK,English,3/2/2022,3/5/2022,Member,No,7,9,5,,9,,3.5
4838,242,621,PQ,English,3/5/2022,3/6/2022,Platinum,No,9,9,9,,9,,4.5
4839,256,324,GK,English,3/5/2022,3/6/2022,Member,Yes,7,5,9,8,5,,3.5
4841,207.5,807,PK,English,3/4/2022,3/6/2022,Member,Yes,8,9,10,10,9,,4
4843,269,725,PK,English,3/5/2022,3/6/2022,Member,Yes,4,5,10,10,5,,2
4845,174.75,725,PK,English,2/26/2022,3/5/2022,Member,Yes,9,9,10,5,9,,4.5
4846,234,806,GQ,English,3/4/2022,3/6/2022,Non-Member,No,10,10,10,10,10,,5
4849,170,1016,GK,English,2/26/2022,2/27/2022,Gold,No,9,10,10,8,10,,4.5
4852,158,1519,CK,English,2/26/2022,2/28/2022,Platinum,Yes,10,,10,10,6,,5
4853,165.6,1202,GK,English,2/25/2022,2/26/2022,Member,No,7,9,10,8,9,,3.5
4854,157.64,1204,GK,English,2/27/2022,3/4/2022,Member,No,8,10,10,5,8,,4
4859,172,807,PK,English,2/27/2022,3/4/2022,Member,Yes,1,1,7,8,7,,0.5
4860,180,1122,GK,English,2/26/2022,2/27/2022,Member,No,10,10,10,10,10,,5
4862,170.5,611,PQ,English,2/26/2022,2/28/2022,Member,Yes,10,10,8,8,10,,5
4863,158,405,GQ,English,3/1/2022,3/2/2022,Gold,Yes,10,10,10,10,10,,5
4867,162.5,820,GQ,English,2/25/2022,2/27/2022,Silver,No,10,9,10,9,9,,5
4868,184.5,602,GK,English,2/26/2022,2/27/2022,Member,No,10,10,10,10,7,,5
4869,172,415,GQ,English,2/28/2022,3/3/2022,Non-Member,No,10,5,10,10,5,,5
4870,177.01,606,GQ,English,2/25/2022,2/27/2022,Member,No,10,10,10,9,9,,5
4872,170.5,1525,CK,English,2/27/2022,3/1/2022,Silver,No,10,10,10,10,10,,5
4873,184.67,1006,GQ,English,2/25/2022,2/28/2022,Member,No,10,10,10,10,10,,5
4876,169,1116,GQ,English,2/27/2022,3/1/2022,Non-Member,No,10,10,10,10,10,,5
4879,156.5,323,GK,English,2/25/2022,2/27/2022,Platinum,Yes,10,10,10,10,10,,5
4881,166,306,GQ,English,2/24/2022,2/25/2022,Member,Yes,10,10,10,10,10,,5
4882,149,1018,GQ,English,2/28/2022,3/1/2022,Member,No,7,9,8,,9,,3.5
4883,167,404,GQ,English,2/26/2022,2/28/2022,Non-Member,No,10,10,10,10,10,,5
4884,166.33,825,PK,English,2/20/2022,2/24/2022,Silver,Yes,9,9,9,9,9,,4.5
4887,147,1002,GK,English,2/25/2022,2/28/2022,Member,No,7,8,9,8,8,,3.5
4888,200,524,GK,English,2/25/2022,2/26/2022,Non-Member,No,5,6,6,,6,,2.5
4890,58.33,1701,CK,English,2/21/2022,2/26/2022,Titanium,No,8,10,8,6,8,,4
4893,179,1208,GDA,English,2/19/2022,2/22/2022,Non-Member,No,10,10,10,10,10,,5
4895,189,607,PQ,English,2/26/2022,2/27/2022,Member,No,4,7,7,3,,,2
4896,219.6,823,PQ,English,2/18/2022,2/20/2022,Member,No,10,10,10,,10,,5
4897,199,212,GQ,English,2/26/2022,2/27/2022,Non-Member,No,10,10,10,10,10,,5
4898,181,1117,PQ,English,2/19/2022,2/25/2022,Titanium,Yes,5,9,9,9,,,2.5
4900,171,1210,GQ,English,2/24/2022,2/26/2022,Platinum,Yes,10,10,10,10,10,,5
4905,201.6,524,GK,English,2/19/2022,2/21/2022,Non-Member,No,8,9,8,9,9,,4
4907,182.14,814,GQ,English,2/17/2022,2/25/2022,Member,No,10,9,10,9,10,,5
4908,145.33,1017,PQ,English,2/20/2022,2/26/2022,Titanium,Yes,10,10,10,10,10,,5
4909,167.45,712,GQ,English,2/16/2022,2/22/2022,Member,Yes,10,9,10,8,9,,5
4910,152,1221,PK,English,2/25/2022,2/26/2022,Titanium,No,10,9,10,10,10,,5
4914,219,503,GQ,English,2/18/2022,2/21/2022,Non-Member,No,6,5,7,6,5,,3
4916,161.1,1005,PQ,English,2/24/2022,2/25/2022,Member,No,10,10,10,10,10,,5
4917,164.67,1512,CK,English,2/21/2022,2/23/2022,Titanium,No,9,9,9,9,9,,4.5
4918,185,1709,CK,English,2/20/2022,2/23/2022,Member,No,8,,,,,,4
4921,165,1501,CK,English,2/23/2022,2/24/2022,Member,No,10,10,9,8,10,,5
4923,175,1604,CK,English,2/22/2022,2/24/2022,Gold,Yes,1,,1,,,,0.5
4924,211.27,1516,CK,English,2/18/2022,2/20/2022,Member,No,10,10,10,,10,,5
4925,227,817,PQ,English,2/18/2022,2/20/2022,Silver,Yes,10,10,10,10,10,,5
4928,157.8,1002,GK,English,2/14/2022,2/19/2022,Member,No,3,2,2,2,2,,1.5
4929,199,212,GQ,English,2/18/2022,2/19/2022,Non-Member,No,5,10,10,8,9,,2.5
4930,156.73,819,PQ,English,2/15/2022,2/19/2022,Member,No,10,10,10,10,10,,5
4931,162,508,GQ,English,2/18/2022,2/21/2022,Gold,Yes,3,5,8,5,5,,1.5
4933,197,212,GQ,English,2/19/2022,2/21/2022,Member,No,6,8,4,1,8,,3
4934,166.33,812,GK,English,2/20/2022,2/23/2022,Member,Yes,6,7,8,2,7,,3
4935,143.2,908,GQ,English,2/21/2022,2/23/2022,Non-Member,Yes,9,10,10,10,10,,4.5
4938,143.1,1015,PQ,English,2/17/2022,2/18/2022,Platinum,No,10,10,10,10,10,,5
4941,166,1212,GK,English,2/15/2022,2/18/2022,Member,Yes,10,10,10,10,10,,5
4942,197.33,721,PQ,English,2/17/2022,2/20/2022,Member,No,3,7,7,7,7,,1.5
4943,192.67,1614,CKA,English,2/17/2022,2/20/2022,Member,No,7,8,7,,8,,3.5
4945,219,717,PQ,English,2/20/2022,2/21/2022,Member,No,1,10,10,10,10,,0.5
4946,223.5,811,PQ,English,2/19/2022,2/21/2022,Member,No,5,5,5,,5,,2.5
4948,181,1706,CK,English,2/19/2022,2/21/2022,Member,Yes,9,8,9,,6,,4.5
4949,206.1,421,GQ,English,2/19/2022,2/21/2022,Member,Yes,4,6,,,,,2
4950,177.67,411,GQ,English,2/18/2022,2/21/2022,Member,No,4,5,5,5,4,,2
4951,169,1708,CK,English,2/20/2022,2/21/2022,Titanium,No,10,10,10,10,10,,5
4953,192.5,608,GQ,English,2/19/2022,2/21/2022,Gold,Yes,10,10,10,10,10,,5
4954,87.5,1617,CK,English,2/19/2022,2/21/2022,Titanium,Yes,6,6,8,,6,,3
4957,201.48,1103,PK,English,2/13/2022,2/19/2022,Non-Member,No,10,10,10,10,10,,5
4958,149,520,GQ,English,2/5/2022,2/6/2022,Non-Member,No,10,10,10,10,10,,5
4959,204.6,1517,CK,English,2/17/2022,2/20/2022,Titanium,Yes,1,7,1,1,1,,0.5
4960,219.5,1716,CK,English,2/18/2022,2/20/2022,Non-Member,No,1,9,10,9,5,,0.5
4966,224.33,209,GQ,English,2/18/2022,2/20/2022,Member,Yes,1,8,1,,8,,0.5
4967,239,703,PQ,English,2/18/2022,2/20/2022,Non-Member,No,7,7,10,7,9,,3.5
4969,210.6,610,GDA,English,2/18/2022,2/20/2022,Member,No,3,1,3,,1,,1.5
4970,237,1201,PK,English,2/19/2022,2/20/2022,Member,No,10,10,10,,10,,5
4973,177.5,1712,CQ,English,2/12/2022,2/15/2022,Platinum,No,10,9,10,9,9,,5
4974,149,521,GQ,English,2/4/2022,2/6/2022,Silver,No,9,9,9,9,9,,4.5
4976,165,608,GQ,English,2/8/2022,2/10/2022,Member,No,7,8,8,,8,,3.5
4977,147.5,924,GK,English,2/16/2022,2/18/2022,Silver,No,9,10,10,9,8,,4.5
4978,180,1502,CK,English,2/11/2022,2/12/2022,Platinum,Yes,6,10,10,10,4,,3
4980,167,720,GQ,English,2/15/2022,2/18/2022,Member,No,10,10,10,10,10,,5
4983,175,302,GK,English,2/15/2022,2/17/2022,Member,No,10,10,10,10,10,,5
4985,169,224,GK,English,2/16/2022,2/17/2022,Non-Member,No,9,7,8,8,8,,4.5
4986,166,1106,GQ,English,2/15/2022,2/17/2022,Titanium,Yes,6,3,10,10,3,,3
4987,198,811,PQ,English,2/13/2022,2/17/2022,Silver,No,10,9,10,10,10,,5
4989,144.4,1119,PQ,English,2/14/2022,2/17/2022,Titanium,Yes,10,10,10,,10,,5
4990,136,502,GK,English,2/13/2022,2/15/2022,Member,No,10,9,10,10,10,,5
4994,165.5,525,GK,English,2/11/2022,2/14/2022,Member,No,10,,,,,,5
4995,149,405,GQ,English,2/4/2022,2/7/2022,Member,No,10,10,8,7,7,,5
4996,168,1619,CK,English,2/9/2022,2/12/2022,Ambassador,No,8,10,10,5,10,,4
4997,143.65,1216,GK,English,2/11/2022,2/12/2022,Titanium,Yes,9,9,10,8,9,,4.5
5000,197.1,1412,GQ,English,2/11/2022,2/12/2022,Silver,Yes,10,10,10,10,10,,5
5003,149,522,GQ,English,2/4/2022,2/7/2022,Non-Member,No,9,8,8,9,8,,4.5
5004,96.33,1005,PQ,English,2/3/2022,2/7/2022,Silver,No,3,8,9,8,4,,1.5
5006,156,912,GK,English,2/14/2022,2/15/2022,Member,No,10,10,10,10,10,,5
5007,159.67,1016,GK,English,2/3/2022,2/7/2022,Silver,No,8,10,10,1,10,,4
5008,170.5,1108,GQ,English,2/11/2022,2/13/2022,Platinum,Yes,10,10,10,10,9,,5
5009,165,403,GQ,English,2/11/2022,2/13/2022,Silver,No,10,10,10,10,10,,5
5010,184.5,1121,PK,English,2/11/2022,2/13/2022,Silver,Yes,9,9,9,8,9,,4.5
5011,180,1018,GQ,English,2/12/2022,2/13/2022,Gold,No,5,10,5,,3,,2.5
5014,194.1,1612,CQ,English,2/11/2022,2/14/2022,Silver,No,10,10,9,8,9,,5
5016,136,1024,GK,English,2/13/2022,2/14/2022,Member,Yes,10,10,10,10,10,,5
5017,156.5,1223,PQ,English,2/11/2022,2/13/2022,Gold,No,6,7,10,8,5,,3
5018,90.5,1403,PQ,English,2/9/2022,2/13/2022,Silver,No,7,9,9,9,9,,3.5
5021,156,708,GQ,English,2/7/2022,2/8/2022,Silver,Yes,9,10,10,5,10,,4.5
5023,163.66,604,GQ,English,2/4/2022,2/8/2022,Member,No,10,10,10,10,9,,5
5025,166,1112,GK,English,2/7/2022,2/10/2022,Member,No,10,10,10,8,10,,5
5026,166,724,GK,English,2/10/2022,2/11/2022,Member,Yes,8,10,10,,10,,4
5027,189,423,GQ,English,2/9/2022,2/11/2022,Non-Member,No,9,10,10,9,10,,4.5
5029,146,1207,PQ,English,2/9/2022,2/11/2022,Titanium,No,7,9,8,5,9,,3.5
5030,152.67,1518,CK,English,2/6/2022,2/11/2022,Titanium,No,9,8,9,9,9,,4.5
5034,135,1606,CK,English,2/5/2022,2/6/2022,Member,No,5,9,9,10,9,,2.5
5037,158.5,1024,GK,English,2/3/2022,2/6/2022,Member,No,10,10,10,9,10,,5
5039,162,404,GQ,English,2/9/2022,2/10/2022,Member,No,4,3,6,5,3,,2
5041,161,1207,PQ,English,2/5/2022,2/6/2022,Platinum,Yes,9,9,9,8,7,,4.5
5042,172,524,GK,English,2/6/2022,2/8/2022,Non-Member,No,9,9,9,9,9,,4.5
5045,209,1010,GQ,English,2/4/2022,2/6/2022,Non-Member,No,3,4,8,5,1,,1.5
5047,144,1216,GK,English,2/5/2022,2/6/2022,Silver,Yes,3,,,,,,1.5
5049,157,1001,PK,English,1/28/2022,1/29/2022,Member,Yes,6,8,3,8,8,,3
5051,152.4,204,GKA,English,2/4/2022,2/7/2022,Non-Member,Yes,7,6,8,6,8,,3.5
5052,152,1521,CK,English,2/1/2022,2/3/2022,Ambassador,Yes,8,10,8,8,8,,4
5054,161,922,GK,English,1/31/2022,2/3/2022,Gold,Yes,10,10,10,10,10,,5
5055,161,818,GK,English,2/4/2022,2/6/2022,Member,Yes,7,10,6,7,8,,3.5
5056,147,1206,GQ,English,2/4/2022,2/6/2022,Silver,No,8,9,8,5,9,,4
5057,151,1225,PK,English,2/4/2022,2/6/2022,Member,Yes,8,8,8,,8,,4
5058,165.6,324,GK,English,2/5/2022,2/6/2022,Member,Yes,10,10,10,10,10,,5
5059,139.5,1520,CK,English,2/3/2022,2/6/2022,Titanium,No,10,10,10,8,6,,5
5060,156.6,1701,CK,English,2/4/2022,2/6/2022,Titanium,No,2,5,2,2,3,,1
5062,151,815,PQ,English,1/28/2022,1/31/2022,Non-Member,No,8,8,7,7,8,,4
5066,156.33,1109,PK,English,1/31/2022,2/3/2022,Non-Member,No,7,7,6,6,5,,3.5
5068,151,1108,GQ,English,2/4/2022,2/5/2022,Gold,Yes,1,7,1,7,7,,0.5
5069,154,912,GK,English,2/1/2022,2/4/2022,Member,No,10,10,10,10,10,,5
5070,140,823,PQ,English,2/1/2022,2/2/2022,Member,Yes,10,10,10,,10,,5
5071,189,616,GQ,English,1/28/2022,1/30/2022,Silver,No,9,10,10,8,10,,4.5
5072,152,414,GQ,English,2/2/2022,2/3/2022,Member,No,10,10,10,10,10,,5
5077,166,1511,CQ,English,1/28/2022,1/29/2022,Gold,Yes,8,10,10,10,2,,4
5080,194,1605,CK,English (UK),1/22/2022,1/28/2022,Titanium,No,8,8,8,8,8,,4
5084,165.6,301,GK,English,1/28/2022,1/30/2022,Member,No,9,8,9,8,9,,4.5
5085,189,322,GK,English,1/28/2022,1/31/2022,Non-Member,Yes,10,10,10,10,10,,5
5086,135.5,1420,GK,English,1/27/2022,1/31/2022,Titanium,No,10,8,10,8,8,,5
5088,152,1022,GK,English,1/26/2022,1/27/2022,Gold,No,8,8,8,8,9,,4
5092,169,716,GQ,English,1/28/2022,1/30/2022,Member,No,6,9,7,9,9,,3
5093,151,820,GQ,English,1/28/2022,1/30/2022,Silver,No,9,10,10,9,9,,4.5
5094,143.1,1522,CK,English,1/29/2022,1/30/2022,Ambassador,No,9,9,10,9,9,,4.5
5098,151,1415,PK,English,1/29/2022,1/30/2022,Ambassador,Yes,1,7,1,5,7,,0.5
5100,156,1418,GQ,English,1/27/2022,1/28/2022,Member,No,6,3,9,10,6,,3
5102,152.1,425,GK,English,1/28/2022,1/29/2022,Non-Member,No,6,6,4,3,7,,3
5103,164.99,1119,PQ,English,1/28/2022,1/29/2022,Non-Member,No,8,9,9,10,9,,4
5104,166,1503,CK,English,1/24/2022,1/25/2022,Titanium,No,10,9,10,10,8,,5
5106,150.88,424,GK,English,1/25/2022,1/27/2022,Member,No,8,9,9,9,9,,4
5110,139.67,808,GQ,English,1/25/2022,1/28/2022,Member,No,8,9,9,9,9,,4
5111,146,921,PQ,English,1/23/2022,1/24/2022,Member,No,6,3,7,,8,,3
5113,185.26,808,GQ,English,1/21/2022,1/23/2022,Non-Member,No,9,7,9,9,7,,4.5
5116,134,711,PQ,English,1/23/2022,1/27/2022,Member,Yes,9,9,10,10,9,,4.5
5117,10,1019,PK,English,1/10/2022,1/21/2022,Titanium,No,10,10,10,10,10,,5
5118,147.03,1505,CK,English (UK),1/16/2022,1/20/2022,Non-Member,No,9,9,9,9,9,,4.5
5119,138,1115,PQ,English,1/22/2022,1/23/2022,Titanium,No,10,7,10,7,7,,5
5121,136,417,GQ,English,1/23/2022,1/24/2022,Member,No,5,9,6,9,9,,2.5
5123,144,1005,PQ,English,1/25/2022,1/26/2022,Member,No,10,9,9,8,9,,5
5127,155.01,705,PQ,English,1/22/2022,1/23/2022,Non-Member,No,5,5,3,,5,,2.5
5130,179,1712,CQ,English,1/19/2022,1/20/2022,Member,No,5,9,9,9,7,,2.5
5131,136,1516,CK,English,1/23/2022,1/24/2022,Platinum,Yes,10,10,10,10,10,,5
5132,139,1212,GK,English,1/23/2022,1/24/2022,Non-Member,No,5,2,2,,1,,2.5
5137,148.5,318,GQ,English,1/21/2022,1/23/2022,Member,No,7,2,9,8,4,,3.5
5138,138,812,GK,English,1/22/2022,1/23/2022,Member,Yes,10,10,10,10,10,,5
5140,153,1620,CK,English,1/21/2022,1/23/2022,Platinum,Yes,9,10,10,10,10,,4.5
5142,155.48,401,GK,English,1/18/2022,1/20/2022,Silver,No,7,7,7,7,8,,3.5
5143,161,303,GK,English,1/18/2022,1/22/2022,Gold,No,10,10,10,10,10,,5
5148,144,1516,CK,English,1/18/2022,1/21/2022,Member,Yes,10,10,10,10,10,,5
5149,144,1424,GK,English,1/20/2022,1/21/2022,Gold,Yes,10,10,10,10,10,,5
5150,149,1711,ES,English,1/18/2022,1/20/2022,Ambassador,No,8,6,5,1,9,,4
5151,175,1125,PK,English,1/18/2022,1/21/2022,Gold,No,10,8,9,7,8,,5
5152,175,1517,CK,English,1/20/2022,1/21/2022,Member,No,10,10,10,10,10,,5
5153,162.33,1520,CK,English,1/18/2022,1/21/2022,Titanium,Yes,8,9,9,7,8,,4
5155,178.48,811,PQ,English,1/15/2022,1/17/2022,Non-Member,No,5,8,6,8,8,,2.5
5156,214,1721,CK,English,1/15/2022,1/17/2022,Silver,Yes,7,4,7,4,1,,3.5
5157,149,625,PK,English,1/16/2022,1/19/2022,Member,No,1,,,,,,0.5
5162,206.5,803,PK,English,1/13/2022,1/18/2022,Non-Member,No,10,10,10,10,10,,5
5165,249,1714,CQ,English,1/14/2022,1/16/2022,Non-Member,No,10,10,10,10,10,,5
5168,163,1015,PQ,English,1/13/2022,1/15/2022,Titanium,No,1,1,2,6,1,,0.5
5169,152,1602,CK,English,1/16/2022,1/17/2022,Member,Yes,8,9,10,10,9,,4
5172,160.08,711,PQ,English,1/13/2022,1/18/2022,Member,No,8,9,10,7,9,,4
5177,185,920,GQ,English,1/13/2022,1/14/2022,Member,Yes,10,9,10,7,10,,5
5178,131.33,909,PK,English,1/12/2022,1/15/2022,Member,No,5,7,9,5,7,,2.5
5180,165.5,925,PK,English,1/14/2022,1/16/2022,Member,No,2,8,2,5,5,,1
5181,229,523,GQ,English,1/14/2022,1/16/2022,Titanium,Yes,10,8,10,10,8,,5
5183,161.1,1612,CQ,English,1/9/2022,1/10/2022,Member,No,10,10,10,10,10,,5
5184,160,1420,GK,English,1/10/2022,1/12/2022,Gold,No,10,10,10,10,10,,5
5185,152,602,GK,English,1/7/2022,1/8/2022,Member,No,9,9,9,,9,,4.5
5187,138.62,425,GK,English,1/10/2022,1/14/2022,Non-Member,No,1,9,7,4,8,,0.5
5192,142,901,PK,English,1/11/2022,1/12/2022,Member,Yes,10,10,10,10,,,5
5193,159,1104,GK,English,1/10/2022,1/13/2022,Member,Yes,10,10,10,10,10,,5
5197,166.4,617,GD,English,12/25/2021,12/30/2021,Member,No,10,9,9,,9,,5
5199,147.2,1002,GK,English,1/7/2022,1/10/2022,Silver,No,6,2,7,8,4,,3
5200,145,1508,CK,English,1/10/2022,1/11/2022,Titanium,Yes,10,10,10,8,9,,5
5201,210.68,1012,GK,English,1/7/2022,1/9/2022,Non-Member,No,10,10,10,5,10,,5
5203,152,824,GK,English,1/10/2022,1/11/2022,Member,Yes,10,10,10,10,10,,5
5204,151.05,1102,GK,English,1/5/2022,1/6/2022,Member,Yes,10,10,10,10,10,,5
5205,171.16,905,GD,English,1/5/2022,1/8/2022,Non-Member,No,1,5,2,10,7,,0.5
5208,133.6,1401,CK,English,11/27/2021,12/31/2021,Member,Yes,5,8,6,2,7,,2.5
5210,151,1415,GK,English,1/7/2022,1/8/2022,Gold,No,7,5,8,7,6,,3.5
5211,177,1522,CK,English,1/4/2022,1/6/2022,Silver,No,4,2,4,4,4,,2
5215,146,1211,GK,English,1/6/2022,1/7/2022,Silver,Yes,10,10,10,9,10,,5
5219,159,1519,CK,English,12/31/2021,1/2/2022,Member,No,10,10,10,10,10,,5
5221,156,711,GD,English,1/6/2022,1/6/2022,Member,Yes,10,6,10,7,7,,5
5222,134,908,GD,English,1/1/2022,1/2/2022,Member,Yes,10,10,,10,10,,5
5223,163.72,922,GK,English,12/31/2021,1/2/2022,Non-Member,No,8,7,8,8,7,,4
5226,99,1615,CK,English,1/4/2022,1/5/2022,Gold,No,10,10,10,,10,,5
5229,199,1012,GK,English,12/31/2021,1/1/2022,Non-Member,No,10,10,10,10,10,,5
5231,184,308,GD,English,12/29/2021,12/31/2021,Non-Member,No,4,4,8,,4,,2
5232,141.68,310,GD,English,12/24/2021,12/26/2021,Non-Member,No,10,10,10,7,7,,5
5234,167.68,409,GD,English,12/31/2021,1/2/2022,Non-Member,No,9,10,10,9,10,,4.5
5237,137.08,325,GK,English,12/28/2021,12/30/2021,Non-Member,No,10,10,10,10,10,,5
5239,175,1525,CK,English,12/28/2021,12/29/2021,Platinum,Yes,10,10,10,7,10,,5
5240,155.8,1018,GD,English,12/20/2021,12/29/2021,Member,No,9,8,9,,8,,4.5
5243,146.5,912,GK,English,12/23/2021,12/26/2021,Member,No,10,10,10,10,10,,5
5244,131,808,GD,English,12/25/2021,12/27/2021,Member,No,10,10,10,9,10,,5
5246,156.71,1224,GK,English,12/30/2021,1/2/2022,Non-Member,No,7,9,10,9,9,,3.5
5249,234,1709,CK,English,12/31/2021,1/2/2022,Member,No,6,4,4,4,4,,3
5251,199,1208,GDA,English,12/31/2021,1/1/2022,Non-Member,No,10,10,10,4,10,,5
5252,146,1421,GK,English,12/31/2021,1/2/2022,Silver,Yes,10,10,10,7,10,,5
5253,152,819,GD,English,12/28/2021,12/29/2021,Member,No,10,9,10,9,9,,5
5254,166,322,GK,English,12/30/2021,12/31/2021,Member,No,9,8,8,8,8,,4.5
5255,189,608,GD,English,12/31/2021,1/1/2022,Member,Yes,9,9,9,8,8,,4.5
5256,138,1204,GK,English,12/30/2021,1/1/2022,Platinum,Yes,8,10,10,10,10,,4
5258,127.82,508,GD,English,12/22/2021,12/27/2021,Non-Member,No,3,7,2,8,7,,1.5
5261,199,712,GD,English,12/31/2021,1/1/2022,Non-Member,No,10,10,10,10,10,,5
5262,160.25,1521,CK,English,12/26/2021,12/30/2021,Member,No,8,10,8,8,8,,4
5263,146,1512,CK,English,12/26/2021,12/27/2021,Gold,Yes,9,8,8,8,8,,4.5
5268,118.83,1102,GK,English,12/16/2021,12/27/2021,Member,No,9,8,10,,9,,4.5
5269,138.33,822,GK,English,12/27/2021,12/31/2021,Non-Member,No,9,10,10,,10,,4.5
5270,146,323,GK,English,12/30/2021,12/31/2021,Member,Yes,10,10,10,10,10,,5
5275,123,1025,GK,English,12/24/2021,12/26/2021,Gold,No,10,10,10,8,10,,5
5276,127,1404,GK,English,12/29/2021,12/30/2021,Member,No,1,2,5,1,2,,0.5
5280,149,1206,GD,English,12/27/2021,12/29/2021,Gold,Yes,10,9,10,8,9,,5
5282,142,1124,GK,English,12/24/2021,12/24/2021,Member,No,10,10,10,,10,,5
5288,133,1506,CK,English,12/21/2021,12/28/2021,Gold,Yes,9,10,10,9,10,,4.5
5290,138.63,1508,CK,English,12/17/2021,12/27/2021,Member,No,10,10,9,8,8,,5
5292,159,811,GD,English,12/23/2021,12/26/2021,Member,Yes,10,8,10,10,9,,5
5295,126.67,1105,GD,English,12/22/2021,12/26/2021,Platinum,Yes,7,10,10,4,10,,3.5
5296,154,902,GK,English,12/24/2021,12/26/2021,Non-Member,No,10,10,10,6,10,,5
5298,141.68,918,GD,English,12/24/2021,12/26/2021,Non-Member,No,10,10,10,10,10,,5
5301,132,904,GK,English,12/21/2021,12/22/2021,Member,No,10,10,10,10,10,,5
5302,151,1009,GK,English,12/17/2021,12/19/2021,Silver,Yes,8,10,10,,10,,4
5304,125.67,1206,GD,English,12/23/2021,12/26/2021,Silver,No,10,8,8,8,5,,5
5308,133.5,1010,GD,English,12/24/2021,12/26/2021,Member,Yes,10,10,10,10,10,,5
5309,146.5,1402,GK,English,12/24/2021,12/26/2021,Member,No,5,2,9,7,7,,2.5
5310,135,920,GD,English,12/23/2021,12/24/2021,Non-Member,No,10,10,10,10,10,,5
5315,155,1717,CD,English,12/20/2021,12/21/2021,Platinum,Yes,10,9,9,8,9,,5
5318,142,1524,CK,English,12/18/2021,12/19/2021,Titanium,Yes,10,10,10,,10,,5
5321,149,424,GK,English,12/18/2021,12/19/2021,Member,No,10,10,10,10,10,,5
5322,115,1406,GD,English,12/19/2021,12/20/2021,Titanium,No,9,,10,10,9,,4.5
5325,132,1116,GD,English,12/19/2021,12/21/2021,Gold,Yes,10,10,10,10,10,,5
5326,121,1517,CK,English,12/18/2021,12/21/2021,Titanium,Yes,5,8,5,7,8,,2.5
5327,139,1025,GK,English,12/19/2021,12/21/2021,Titanium,Yes,9,9,9,10,10,,4.5
5328,132.8,914,GD,English,12/14/2021,12/17/2021,Non-Member,No,9,9,8,,9,,4.5
5330,100,1018,GD,English,12/11/2021,12/13/2021,Non-Member,No,10,10,10,7,8,,5
5334,100,405,GD,English,12/11/2021,12/12/2021,Non-Member,No,8,9,8,7,8,,4
